"","journal","impactfactor","JCR","filed"
"629","IMMUNOLOGICAL REVIEWS","7.5","Q1","IMMUNOLOGY"
"630","Current Environmental Health Reports","7.4","Q1","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH"
"631","MOVEMENT DISORDERS","7.4","Q1","CLINICAL NEUROLOGY"
"632","ARTERIOSCLEROSIS THROMBOSIS AND VASCULAR BIOLOGY","7.4","Q1","PERIPHERAL VASCULAR DISEASE"
"633","Blood Advances","7.4","Q1","HEMATOLOGY"
"634","CNS DRUGS","7.4","Q1","PSYCHIATRY"
"635","Food Frontiers","7.4","Q1","FOOD SCIENCE & TECHNOLOGY"
"636","BRITISH MEDICAL BULLETIN","7.4","Q1","MEDICINE, GENERAL & INTERNAL"
"637","JOURNAL OF CELL BIOLOGY","7.4","Q1","CELL BIOLOGY"
"638","Journal of Environmental Chemical Engineering","7.4","Q1","ENGINEERING, ENVIRONMENTAL"
"639","SEMINARS IN IMMUNOLOGY","7.4","Q1","IMMUNOLOGY"
"640","ACS ES&T Engineering","7.4","Q1","ENGINEERING, ENVIRONMENTAL"
"641","TRENDS IN CARDIOVASCULAR MEDICINE","7.3","Q1","CARDIAC & CARDIOVASCULAR SYSTEMS"
"642","JOURNAL OF HEADACHE AND PAIN","7.3","Q1","NEUROSCIENCES"
"643","JOURNAL OF CLINICAL EPIDEMIOLOGY","7.3","Q1","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH"
"644","PHYTOCHEMISTRY REVIEWS","7.3","Q1","PLANT SCIENCES"
"645","International Soil and Water Conservation Research","7.3","Q1","WATER RESOURCES"
"646","QJM-AN INTERNATIONAL JOURNAL OF MEDICINE","7.3","Q1","MEDICINE, GENERAL & INTERNAL"
"647","CRITICAL REVIEWS IN FOOD SCIENCE AND NUTRITION","7.3","Q1","NUTRITION & DIETETICS"
"648","International Forum of Allergy & Rhinology","7.2","Q1","OTORHINOLARYNGOLOGY"
"649","Osteoarthritis and Cartilage","7.2","Q1","RHEUMATOLOGY"
"650","Particle and Fibre Toxicology","7.2","Q1","TOXICOLOGY"
"651","EMERGING INFECTIOUS DISEASES","7.2","Q1","INFECTIOUS DISEASES"
"652","REVISTA ESPANOLA DE CARDIOLOGIA","7.2","Q1","CARDIAC & CARDIOVASCULAR SYSTEMS"
"653","JOURNAL OF CLINICAL IMMUNOLOGY","7.2","Q1","IMMUNOLOGY"
"654","EUROPEAN PSYCHIATRY","7.2","Q1","PSYCHIATRY"
"655","Future Foods","7.2","Q1","FOOD SCIENCE & TECHNOLOGY"
"656","Water Research X","7.2","Q1","WATER RESOURCES"
"657","QUARTERLY REVIEWS OF BIOPHYSICS","7.2","Q1","BIOPHYSICS"
"658","CLINICAL CHEMISTRY","7.1","Q1","MEDICAL LABORATORY TECHNOLOGY"
"659","MODERN PATHOLOGY","7.1","Q1","PATHOLOGY"
"660","Photoacoustics","7.1","Q1","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING"
"661","Cellular and Molecular Gastroenterology and Hepatology","7.1","Q1","GASTROENTEROLOGY & HEPATOLOGY"
"662","ECOLOGICAL MONOGRAPHS","7.1","Q1","ECOLOGY"
"663","BMJ Global Health","7.1","Q1","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH"
"664","FREE RADICAL BIOLOGY AND MEDICINE","7.1","Q1","ENDOCRINOLOGY & METABOLISM"
"665","Stem Cell Research & Therapy","7.1","Q1","MEDICINE, RESEARCH & EXPERIMENTAL"
"666","ESMO Open","7.1","Q1","ONCOLOGY"
"667","ACS Sustainable Chemistry & Engineering","7.1","Q1","GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY"
"668","BUILDING AND ENVIRONMENT","7.1","Q1","ENGINEERING, ENVIRONMENTAL"
"669","Sustainable Energy Technologies and Assessments","7.1","Q1","GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY"
"670","Waste Management","7.1","Q1","ENVIRONMENTAL SCIENCES"
"671","CURRENT OPINION IN BIOTECHNOLOGY","7.1","Q1","BIOTECHNOLOGY & APPLIED MICROBIOLOGY"
"672","Lancet Regional Health-Americas","7","Q1","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH"
"673","INVESTIGATIVE RADIOLOGY","7","Q1","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING"
"674","BMC Medicine","7","Q1","MEDICINE, GENERAL & INTERNAL"
"675","COMPUTERS IN BIOLOGY AND MEDICINE","7","Q1","MATHEMATICAL & COMPUTATIONAL BIOLOGY"
"676","Ecological Indicators","7","Q1","ENVIRONMENTAL SCIENCES"
"677","Molecular Metabolism","7","Q1","ENDOCRINOLOGY & METABOLISM"
"678","Annual Review of Biomedical Data Science","7","Q1","MATHEMATICAL & COMPUTATIONAL BIOLOGY"
"679","FOOD RESEARCH INTERNATIONAL","7","Q1","FOOD SCIENCE & TECHNOLOGY"
"680","Aging and Disease","7","Q1","GERIATRICS & GERONTOLOGY"
"681","TRENDS IN PARASITOLOGY","7","Q1","PARASITOLOGY"
"682","Chinese Journal of Cancer Research","7","Q1","ONCOLOGY"
